trial_number,trial_type,mask_present,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 1, 2, False]",FALSE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.7263315,1,120,5,3.2.2021,119.9868015
1,"['high', 16, 2, True]",TRUE,16,black,135,left,up,high,black_high_135_up,white_high_45_up,2,left,0.3357068,1,120,5,3.2.2021,119.9868015
2,"['high', 1, 2, True]",TRUE,1,black,45,right,down,high,black_high_45_down,white_high_135_down,2,right,0.9988574,1,120,5,3.2.2021,119.9868015
3,"['high', 8, 2, True]",TRUE,8,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.1561412,1,120,5,3.2.2021,119.9868015
4,"['high', 64, 2, True]",TRUE,64,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,1.0899326,1,120,5,3.2.2021,119.9868015
5,"['high', 16, 2, True]",TRUE,16,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.1461946,1,120,5,3.2.2021,119.9868015
6,"['high', 16, 2, True]",TRUE,16,black,45,right,up,high,black_high_45_up,white_high_135_up,2,right,0.2359277,1,120,5,3.2.2021,119.9868015
7,"['high', 2, 2, True]",TRUE,2,white,135,right,up,high,white_high_135_up,black_high_45_up,2,right,0.1931699,1,120,5,3.2.2021,119.9868015
8,"['high', 64, 2, True]",TRUE,64,white,45,left,up,high,white_high_45_up,black_high_135_up,2,left,0.1504283,1,120,5,3.2.2021,119.9868015
9,"['low', 32, 2, True]",TRUE,32,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.199285,1,120,5,3.2.2021,119.9868015
10,"['high', 8, 2, True]",TRUE,8,black,45,right,up,high,black_high_45_up,white_high_135_up,2,left,0.8750006,0,120,5,3.2.2021,119.9868015
11,"['low', 3, 2, True]",TRUE,3,black,135,left,down,low,black_low_135_down,white_low_45_down,2,right,0.2697827,0,120,5,3.2.2021,119.9868015
12,"['high', 16, 2, True]",TRUE,16,black,135,left,down,high,black_high_135_down,white_high_45_down,2,left,0.2604115,1,120,5,3.2.2021,119.9868015
13,"['low', 64, 2, True]",TRUE,64,black,135,left,down,low,black_low_135_down,white_low_45_down,2,left,0.3193557,1,120,5,3.2.2021,119.9868015
14,"['high', 4, 2, True]",TRUE,4,white,135,right,up,high,white_high_135_up,black_high_45_up,2,left,0.2989848,0,120,5,3.2.2021,119.9868015
15,"['high', 3, 60, False]",FALSE,3,white,45,left,up,high,white_high_45_up,black_high_135_up,60,left,1.1494236,1,120,5,3.2.2021,119.9868015
16,"['high', 32, 2, True]",TRUE,32,white,135,right,down,high,white_high_135_down,black_high_45_down,2,right,0.6702593,1,120,5,3.2.2021,119.9868015
17,"['high', 3, 60, False]",FALSE,3,white,135,right,down,high,white_high_135_down,black_high_45_down,60,right,0.3484878,1,120,5,3.2.2021,119.9868015
18,"['low', 32, 2, True]",TRUE,32,black,45,right,down,low,black_low_45_down,white_low_135_down,2,right,0.4823655,1,120,5,3.2.2021,119.9868015
