trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['high', 1]",1,white,45,left,down,high,white_high_45_down,black_high_135_down,12,left,0.8339307,1,12,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
1,"['low', 3]",3,black,135,left,down,low,black_low_135_down,white_low_45_down,3,left,0.4181026,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
2,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,3,right,0.410227,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
3,"['high', 1]",1,white,135,right,down,high,white_high_135_down,black_high_45_down,11,right,1.4424444,1,11,1,1,FALSE,0,0,1,1,TRUE,FALSE,high_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
4,"['low', 2]",2,white,135,right,up,low,white_low_135_up,black_low_45_up,4,right,0.3113187,1,4,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
5,"['low', 1]",1,black,135,left,down,low,black_low_135_down,white_low_45_down,8,left,0.2719343,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
6,"['high', 3]",3,black,135,left,up,high,black_high_135_up,white_high_45_up,8,left,0.7466951,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
7,"['high', 6]",6,black,45,right,up,high,black_high_45_up,white_high_135_up,8,left,0.4167364,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
8,"['high', 6]",6,white,135,right,up,high,white_high_135_up,black_high_45_up,11,right,0.2375451,1,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
9,"['low', 3]",3,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.2502472,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
10,"['low', 1]",1,black,135,left,down,low,black_low_135_down,white_low_45_down,7,left,0.3658362,1,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
11,"['low', 4]",4,white,45,left,down,low,white_low_45_down,black_low_135_down,2,left,0.2017423,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
12,"['low', 6]",6,white,45,left,down,low,white_low_45_down,black_low_135_down,3,left,0.013079,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
13,"['low', 4]",4,black,45,right,down,low,black_low_45_down,white_low_135_down,1,left,0.2048335,0,1,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
14,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,2,right,0.1137575,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
15,"['high', 2]",2,black,135,left,up,high,black_high_135_up,white_high_45_up,8,right,1.2169894,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
16,"['low', 3]",3,white,135,right,up,low,white_low_135_up,black_low_45_up,1,right,0.4167658,1,1,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
17,"['low', 6]",6,black,135,left,up,low,black_low_135_up,white_low_45_up,1,left,0.1939909,1,1,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
18,"['low', 6]",6,white,45,left,down,low,white_low_45_down,black_low_135_down,1,left,0.2719851,1,1,3,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
19,"['high', 4]",4,white,135,right,down,high,white_high_135_down,black_high_45_down,8,right,0.110234,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,3,3.2.2021,164.8622493
