trial_number,trial_type,cycle_number,first_color,first_orientation,correct_response,visual_field,spatial_frequency,first_stim,second_stim,stimulus_frame_duration,fixation,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_reversal,staircase_reversal_num,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,threshold_low1,threshold_low2,threshold_low3,threshold_low4,threshold_low6,threshold_high1,threshold_high2,threshold_high3,threshold_high4,threshold_high6,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 4]",4,white,45,left,down,low,white_low_45_down,black_low_135_down,3,1.439753429,left,0.2153514,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
1,"['low', 4]",4,black,135,left,up,low,black_low_135_up,white_low_45_up,2,1.928259049,right,0.21364,0,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
2,"['low', 3]",3,white,135,right,down,low,white_low_135_down,black_low_45_down,3,1.736043617,right,0.3840675,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
3,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,5,1.206201375,right,0.4504602,1,5,2,0,TRUE,1,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
4,"['low', 1]",1,white,135,right,down,low,white_low_135_down,black_low_45_down,8,1.556336145,right,1.343323,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
5,"['high', 2]",2,white,135,right,down,high,white_high_135_down,black_high_45_down,8,1.066297631,left,0.3699765,0,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
6,"['high', 2]",2,black,45,right,up,high,black_high_45_up,white_high_135_up,11,1.04751612,left,0.4798765,0,11,1,0,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
7,"['low', 6]",6,white,135,right,up,low,white_low_135_up,black_low_45_up,3,1.437629821,right,0.4391771,1,3,0,None,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
8,"['low', 4]",4,white,135,right,down,low,white_low_135_down,black_low_45_down,4,1.498336047,right,0.4793317,1,4,3,1,TRUE,2,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
9,"['low', 1]",1,black,45,right,up,low,black_low_45_up,white_low_135_up,7,1.094224355,left,0.1808502,0,7,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_1,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
10,"['low', 6]",6,white,135,right,down,low,white_low_135_down,black_low_45_down,2,1.822407419,right,0.3482145,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_6,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
11,"['low', 3]",3,black,45,right,up,low,black_low_45_up,white_low_135_up,2,1.815289701,right,0.4473262,1,2,1,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
12,"['high', 3]",3,white,45,left,down,high,white_high_45_down,black_high_135_down,8,1.197877679,left,0.1390435,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
13,"['high', 4]",4,black,45,right,up,high,black_high_45_up,white_high_135_up,8,1.066127532,right,0.6618595,1,8,0,None,FALSE,0,0,1,1,TRUE,FALSE,high_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
14,"['high', 2]",2,white,45,left,down,high,white_high_45_down,black_high_135_down,14,1.365038648,left,0.2214365,1,14,2,0,FALSE,0,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
15,"['high', 2]",2,black,45,right,down,high,black_high_45_down,white_high_135_down,13,1.432400632,left,0.1682479,0,13,3,1,TRUE,1,0,1,1,TRUE,FALSE,high_2,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
16,"['low', 3]",3,black,135,left,up,low,black_low_135_up,white_low_45_up,1,1.400946568,right,0.3319497,0,1,2,1,FALSE,0,0,1,1,TRUE,FALSE,low_3,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
17,"['low', 4]",4,black,45,right,up,low,black_low_45_up,white_low_135_up,3,1.103508593,right,0.3064743,1,3,4,1,FALSE,2,0,1,1,TRUE,FALSE,low_4,0.75,-1,3,,,,,,,,,,,165,11,3.2.2021,164.9568885
