trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_start,mask_end,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['low', 3, 'low']",3,black,0.316791046,45,right,up,low,low,white_low_45-black_low_45-white_low_135-black_low_135,black_low_45_up,white_low_135_up,3,1.115030301,1106.799188,1107.047731,0.2485429,left,0.3722052,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
1,"['high', 3, 'high']",3,black,0.329940023,45,right,up,high,high,white_high_135-black_high_135-white_high_135-black_high_45,black_high_45_up,white_high_135_up,8,1.524629868,1109.77719,1110.025745,0.2485551,left,0.4727236,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
2,"['high', 3, 'high']",3,white,0.389085407,45,left,up,high,high,white_high_135-black_high_135-black_high_45-white_high_135,white_high_45_up,black_high_135_up,11,1.032485057,1112.481218,1112.729759,0.2485412,left,0.3980096,1,11,1,0,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
3,"['high', 3, 'high']",3,white,0.943263956,135,right,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,white_high_135_down,black_high_45_down,10,1.948687559,1115.991199,1116.239749,0.2485498,right,0.3540479,1,10,2,1,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
4,"['high', 1, 'low']",1,white,0.701278138,135,right,up,high,low,white_low_45-black_low_135-white_low_135-black_low_45,white_high_135_up,black_high_45_up,12,1.678455821,1118.932848,1119.179633,0.2467847,right,0.3067124,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
5,"['high', 2, 'high']",2,black,0.710311812,135,left,down,high,high,white_high_135-white_high_135-black_high_135-black_high_45,black_high_135_down,white_high_45_down,8,1.956481435,1122.162259,1122.410785,0.2485258,right,0.3113885,0,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
6,"['high', 1, 'low']",1,black,0.081438184,135,left,down,high,low,white_low_135-white_low_45-black_low_45-black_low_135,black_high_135_down,white_high_45_down,11,1.882492677,1125.253964,1125.502508,0.248544,left,0.5348404,1,11,1,1,0,1,1,TRUE,FALSE,high_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
7,"['low', 1, 'low']",1,white,0.422687113,135,right,up,low,low,white_low_45-black_low_45-white_low_135-black_low_135,white_low_135_up,black_low_45_up,8,1.542523592,1128.20231,1128.448998,0.2466877,right,1.1350993,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
8,"['med', 1, 'low']",1,black,0.220714615,45,right,up,med,low,white_low_135-black_low_135-black_low_45-white_low_45,black_med_45_up,white_med_135_up,12,1.139048293,1131.382842,1131.631385,0.2485427,left,0.0736337,0,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
9,"['high', 2, 'high']",2,black,0.371978433,45,right,down,high,high,black_high_45-white_high_135-white_high_135-black_high_135,black_high_45_down,white_high_135_down,11,1.518189931,1134.019893,1134.270197,0.2503042,right,0.4229817,1,11,1,0,0,1,1,TRUE,FALSE,high_2_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
10,"['low', 3, 'high']",3,black,0.626265476,45,right,up,low,high,black_high_135-white_high_135-white_high_135-black_high_45,black_low_45_up,white_low_135_up,3,1.829086468,1137.166179,1137.414721,0.2485422,left,0.2177452,0,3,0,None,0,1,1,TRUE,FALSE,low_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
11,"['high', 1, 'high']",1,black,0.578900465,45,right,down,high,high,white_high_135-black_high_135-black_high_45-white_high_135,black_high_45_down,white_high_135_down,12,1.248940312,1139.548615,1139.797161,0.2485467,right,0.2318809,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
12,"['low', 3, 'low']",3,white,0.878496888,45,left,up,low,low,white_low_45-black_low_135-black_low_45-white_low_135,white_low_45_up,black_low_135_up,6,1.75558638,1142.543345,1142.791885,0.2485403,left,0.1881209,1,6,1,0,0,1,1,TRUE,FALSE,low_3_mask_low,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,1,3.2.2021,164.9838316
