trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['med', 3, 'low']",3,black,0.694240015,45,right,up,med,low,black_low_45-black_low_135-white_low_135-white_low_45,black_med_45_up,white_med_135_up,8,1.492884426,0.2466974,right,0.474774,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
1,"['high', 3, 'high']",3,black,0.99039382,45,right,down,high,high,black_high_135-white_high_135-black_high_45-white_high_135,black_high_45_down,white_high_135_down,8,1.62910649,0.2485409,left,2.0031422,0,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
2,"['high', 3, 'low']",3,white,0.693824889,135,right,up,high,low,black_low_135-white_low_135-white_low_45-black_low_45,white_high_135_up,black_high_45_up,8,1.161735076,0.2485665,right,1.3148273,1,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
3,"['med', 3, 'high']",3,white,0.748427675,135,right,down,med,high,black_high_45-black_high_135-white_high_135-white_high_135,white_med_135_down,black_med_45_down,8,1.712161171,0.248572,right,0.4783078,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
4,"['med', 3, 'high']",3,white,0.260107513,135,right,up,med,high,black_high_45-black_high_135-white_high_135-white_high_135,white_med_135_up,black_med_45_up,7,1.772036758,0.2485483,right,0.2948915,1,7,1,1,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
5,"['low', 1, 'low']",1,white,0.573277859,135,right,up,low,low,black_low_135-black_low_45-white_low_135-white_low_45,white_low_135_up,black_low_45_up,8,1.290787024,0.250291,right,1.6335226,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
6,"['med', 1, 'high']",1,white,0.956403681,45,left,up,med,high,black_high_45-white_high_135-white_high_135-black_high_135,white_med_45_up,black_med_135_up,12,1.394525221,0.2485436,left,0.8095895,1,12,0,None,0,1,1,TRUE,FALSE,med_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
7,"['med', 2, 'high']",2,white,0.111401696,45,left,up,med,high,black_high_135-white_high_135-white_high_135-black_high_45,white_med_45_up,black_med_135_up,8,1.951265143,0.2466871,left,1.120076,1,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
8,"['med', 2, 'high']",2,white,0.265369219,45,left,up,med,high,white_high_135-white_high_135-black_high_45-black_high_135,white_med_45_up,black_med_135_up,7,1.012588046,0.2485411,left,1.0747827,1,7,1,1,0,1,1,TRUE,FALSE,med_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
9,"['med', 3, 'low']",3,white,0.826115705,45,left,up,med,low,white_low_135-black_low_45-white_low_45-black_low_135,white_med_45_up,black_med_135_up,7,1.431908792,0.2503106,left,4.1441596,1,7,1,1,0,1,1,TRUE,FALSE,med_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,4,3.2.2021,166.000176
