trial_number,trial_type,cycle_number,first_color,phase,first_orientation,correct_response,visual_field,spatial_frequency,mask_type,mask_images,first_stim,second_stim,stimulus_frame_duration,fixation_duration,mask_duration,answer,rt,accuracy,staircase_dv,staircase_trial_num,staircase_previous_correct,staircase_phase,staircase_step_size,staircase_powers_law,staircase_siam,staircase_over,staircase_name,staircase_conv_p,staircase_step_hit,staircase_step_miss,staircase_reversal,staircase_reversal_num,threshold_low1_mask_low,threshold_low2_mask_low,threshold_low3_mask_low,threshold_low1_mask_high,threshold_low2_mask_high,threshold_low3_mask_high,threshold_high1_mask_low,threshold_high2_mask_low,threshold_high3_mask_low,threshold_high1_mask_high,threshold_high2_mask_high,threshold_high3_mask_high,threshold_med1_mask_low,threshold_med2_mask_low,threshold_med3_mask_low,threshold_med1_mask_high,threshold_med2_mask_high,threshold_med3_mask_high,frame_rate,participant,psychopyVersion,frame_rate_detected
0,"['med', 3, 'high']",3,white,0.12163178,45,left,up,med,high,black_high_45-black_high_135-white_high_135-white_high_135,white_med_45_up,black_med_135_up,8,1.569495372,0.2485411,left,0.2115025,1,8,0,None,0,1,1,TRUE,FALSE,med_3_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
1,"['high', 3, 'low']",3,white,0.709662861,45,left,up,high,low,black_low_135-white_low_45-black_low_45-white_low_135,white_high_45_up,black_high_135_up,8,1.649316668,0.2485295,left,0.4863749,1,8,0,None,0,1,1,TRUE,FALSE,high_3_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
2,"['low', 2, 'low']",2,black,0.668240035,45,right,up,low,low,white_low_45-white_low_135-black_low_45-black_low_135,black_low_45_up,white_low_135_up,3,1.688945704,0.2485427,left,0.2425882,0,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
3,"['med', 2, 'low']",2,white,0.687053471,135,right,down,med,low,black_low_135-white_low_45-black_low_45-white_low_135,white_med_135_down,black_med_45_down,8,1.875761646,0.2485429,right,0.2975187,1,8,0,None,0,1,1,TRUE,FALSE,med_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
4,"['high', 1, 'high']",1,black,0.075243165,45,right,down,high,high,white_high_135-white_high_135-black_high_135-black_high_45,black_high_45_down,white_high_135_down,12,1.317250416,0.2488053,right,0.5279758,1,12,0,None,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
5,"['high', 2, 'low']",2,black,0.008785049,135,left,down,high,low,black_low_45-black_low_135-white_low_135-white_low_45,black_high_135_down,white_high_45_down,8,1.60091911,0.2467213,left,0.7075896,1,8,0,None,0,1,1,TRUE,FALSE,high_2_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
6,"['low', 2, 'high']",2,white,0.674160295,135,right,up,low,high,white_high_135-white_high_135-black_high_45-black_high_135,white_low_135_up,black_low_45_up,3,1.009146125,0.2485525,right,0.9110416,1,3,0,None,0,1,1,TRUE,FALSE,low_2_mask_high,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
7,"['high', 1, 'high']",1,black,0.18278158,135,left,up,high,high,black_high_135-white_high_135-white_high_135-black_high_45,black_high_135_up,white_high_45_up,11,1.190767824,0.2485575,right,0.5111885,0,11,1,1,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,TRUE,1,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
8,"['low', 1, 'low']",1,white,0.216330516,45,left,up,low,low,black_low_45-white_low_45-white_low_135-black_low_135,white_low_45_up,black_low_135_up,8,1.600315618,0.2467365,left,0.444595,1,8,0,None,0,1,1,TRUE,FALSE,low_1_mask_low,0.75,-1,3,FALSE,0,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
9,"['high', 1, 'high']",1,white,0.721613686,135,right,down,high,high,black_high_135-black_high_45-white_high_135-white_high_135,white_high_135_down,black_high_45_down,14,1.348955639,0.2485532,right,1.5811272,1,14,2,0,0,1,1,TRUE,FALSE,high_1_mask_high,0.75,-1,3,TRUE,2,,,,,,,,,,,,,,,,,,,165,5,3.2.2021,165.151948
